id_commune;commune_gironde;;kilometrage_bordeaux;frais_livraison_euros;;
247;Les Églisottes-et-Chalaures ;Les Églisottes-et-Chalaures;60;40,4;('Les Églisottes-et-Chalaures ', 60, 40.4),;('Les Églisottes-et-Chalaures', 60, 40.4),
248;Les Esseintes   ;Les Esseintes;59;39,81;('Les Esseintes   ', 59, 39.81),;('Les Esseintes', 59, 39.81),
249;Les Lèves-et-Thoumeyragues  ;Les Lèves-et-Thoumeyragues;71;46,89;('Les Lèves-et-Thoumeyragues  ', 71, 46.89),;('Les Lèves-et-Thoumeyragues', 71, 46.89),
250;Les Peintures;Les Peintures;55;37,45;('Les Peintures', 55, 37.45),;('Les Peintures', 55, 37.45),
251;Les Salles-de-Castillon;Les Salles-de-Castillon;57;38,63;('Les Salles-de-Castillon', 57, 38.63),;('Les Salles-de-Castillon', 57, 38.63),
252;Lesparre-Médoc ;Lesparre-Médoc;64;42,76;('Lesparre-Médoc ', 64, 42.76),;('Lesparre-Médoc', 64, 42.76),
253;Lestiac-sur-Garonne;Lestiac-sur-Garonne;27;20,93;('Lestiac-sur-Garonne', 27, 20.93),;('Lestiac-sur-Garonne', 27, 20.93),
254;Libourne;Libourne;33;24,47;('Libourne', 33, 24.47),;('Libourne', 33, 24.47),
255;Lignan-de-Bazas;Lignan-de-Bazas;62;41,58;('Lignan-de-Bazas', 62, 41.58),;('Lignan-de-Bazas', 62, 41.58),
256;Lignan-de-Bordeaux;Lignan-de-Bordeaux;17;15,03;('Lignan-de-Bordeaux', 17, 15.03),;('Lignan-de-Bordeaux', 17, 15.03),
257;Ligueux;Ligueux;82;53,38;('Ligueux', 82, 53.38),;('Ligueux', 82, 53.38),
258;Listrac-de-Durèze ;Listrac-de-Durèze;58;39,22;('Listrac-de-Durèze ', 58, 39.22),;('Listrac-de-Durèze', 58, 39.22),
259;Listrac-Médoc ;Listrac-Médoc;35;25,65;('Listrac-Médoc ', 35, 25.65),;('Listrac-Médoc', 35, 25.65),
260;Lormont;Lormont;10;10,9;('Lormont', 10, 10.9),;('Lormont', 10, 10.9),
261;Loubens;Loubens;59;39,81;('Loubens', 59, 39.81),;('Loubens', 59, 39.81),
262;Louchats;Louchats;40;28,6;('Louchats', 40, 28.6),;('Louchats', 40, 28.6),
263;Loupes;Loupes;20;16,8;('Loupes', 20, 16.8),;('Loupes', 20, 16.8),
264;Loupiac;Loupiac;42;29,78;('Loupiac', 42, 29.78),;('Loupiac', 42, 29.78),
265;Loupiac-de-la-Réole   ;Loupiac-de-la-Réole;68;45,12;('Loupiac-de-la-Réole   ', 68, 45.12),;('Loupiac-de-la-Réole', 68, 45.12),
266;Lucmau;Lucmau;69;45,71;('Lucmau', 69, 45.71),;('Lucmau', 69, 45.71),
267;Ludon-Médoc;Ludon-Médoc;18;15,62;('Ludon-Médoc', 18, 15.62),;('Ludon-Médoc', 18, 15.62),
268;Lugaignac;Lugaignac;34;25,06;('Lugaignac', 34, 25.06),;('Lugaignac', 34, 25.06),
269;Lugasson;Lugasson;44;30,96;('Lugasson', 44, 30.96),;('Lugasson', 44, 30.96),
270;Lugon-et-l'Île-du-Carnay   ;Lugon-et-l'Île-du-Carnay;32;23,88;('Lugon-et-l'Île-du-Carnay   ', 32, 23.88),;('Lugon-et-l''Île-du-Carnay', 32, 23.88),
271;Lugos;Lugos;56;38,04;('Lugos', 56, 38.04),;('Lugos', 56, 38.04),
272;Lussac;Lussac;46;32,14;('Lussac', 46, 32.14),;('Lussac', 46, 32.14),
273;Macau;Macau;21;17,39;('Macau', 21, 17.39),;('Macau', 21, 17.39),
274;Madirac;Madirac;20;16,8;('Madirac', 20, 16.8),;('Madirac', 20, 16.8),
275;Maransin;Maransin;43;30,37;('Maransin', 43, 30.37),;('Maransin', 43, 30.37),
276;Marcenais;Marcenais;39;28,01;('Marcenais', 39, 28.01),;('Marcenais', 39, 28.01),
277;Marcheprime;Marcheprime;29;22,11;('Marcheprime', 29, 22.11),;('Marcheprime', 29, 22.11),
278;Margaux-Cantenac ;Margaux-Cantenac;27;20,93;('Margaux-Cantenac ', 27, 20.93),;('Margaux-Cantenac', 27, 20.93),
279;Margueron;Margueron;84;54,56;('Margueron', 84, 54.56),;('Margueron', 84, 54.56),
280;Marimbault;Marimbault;72;47,48;('Marimbault', 72, 47.48),;('Marimbault', 72, 47.48),
281;Marions;Marions;80;52,2;('Marions', 80, 52.2),;('Marions', 80, 52.2),
282;Marsas;Marsas;34;25,06;('Marsas', 34, 25.06),;('Marsas', 34, 25.06),
283;Martignas-sur-Jalle;Martignas-sur-Jalle;19;16,21;('Martignas-sur-Jalle', 19, 16.21),;('Martignas-sur-Jalle', 19, 16.21),
284;Martillac;Martillac;20;16,8;('Martillac', 20, 16.8),;('Martillac', 20, 16.8),
285;Martres;Martres;44;30,96;('Martres', 44, 30.96),;('Martres', 44, 30.96),
286;Masseilles;Masseilles;74;48,66;('Masseilles', 74, 48.66),;('Masseilles', 74, 48.66),
287;Massugas;Massugas;72;47,48;('Massugas', 72, 47.48),;('Massugas', 72, 47.48),
288;Mauriac;Mauriac;62;41,58;('Mauriac', 62, 41.58),;('Mauriac', 62, 41.58),
289;Mazères;Mazères;55;37,45;('Mazères', 55, 37.45),;('Mazères', 55, 37.45),
290;Mazion;Mazion;51;35,09;('Mazion', 51, 35.09),;('Mazion', 51, 35.09),
291;Mérignac;Mérignac;6;8,54;('Mérignac', 6, 8.54),;('Mérignac', 6, 8.54),
292;Mérignas;Mérignas;55;37,45;('Mérignas', 55, 37.45),;('Mérignas', 55, 37.45),
293;Mesterrieux;Mesterrieux;86;55,74;('Mesterrieux', 86, 55.74),;('Mesterrieux', 86, 55.74),
294;Mios;Mios;44;30,96;('Mios', 44, 30.96),;('Mios', 44, 30.96),
295;Mombrier;Mombrier;42;29,78;('Mombrier', 42, 29.78),;('Mombrier', 42, 29.78),
296;Mongauzy;Mongauzy;79;51,61;('Mongauzy', 79, 51.61),;('Mongauzy', 79, 51.61),
297;Monprimblanc;Monprimblanc;49;33,91;('Monprimblanc', 49, 33.91),;('Monprimblanc', 49, 33.91),
298;Monségur;Monségur;90;58,1;('Monségur', 90, 58.1),;('Monségur', 90, 58.1),
299;Montagne;Montagne;50;34,5;('Montagne', 50, 34.5),;('Montagne', 50, 34.5),
300;Montagoudin;Montagoudin;77;50,43;('Montagoudin', 77, 50.43),;('Montagoudin', 77, 50.43),
301;Montignac;Montignac;42;29,78;('Montignac', 42, 29.78),;('Montignac', 42, 29.78),
302;Montussan;Montussan;19;16,21;('Montussan', 19, 16.21),;('Montussan', 19, 16.21),
303;Morizès;Morizès;67;44,53;('Morizès', 67, 44.53),;('Morizès', 67, 44.53),
304;Mouillac;Mouillac;33;24,47;('Mouillac', 33, 24.47),;('Mouillac', 33, 24.47),
305;Mouliets-et-Villemartin;Mouliets-et-Villemartin;57;38,63;('Mouliets-et-Villemartin', 57, 38.63),;('Mouliets-et-Villemartin', 57, 38.63),
306;Moulis-en-Médoc;Moulis-en-Médoc;35;25,65;('Moulis-en-Médoc', 35, 25.65),;('Moulis-en-Médoc', 35, 25.65),
307;Moulon;Moulon;38;27,42;('Moulon', 38, 27.42),;('Moulon', 38, 27.42),
308;Mourens;Mourens;53;36,27;('Mourens', 53, 36.27),;('Mourens', 53, 36.27),
309;Naujac-sur-Mer;Naujac-sur-Mer;64;42,76;('Naujac-sur-Mer', 64, 42.76),;('Naujac-sur-Mer', 64, 42.76),
310;Naujan-et-Postiac;Naujan-et-Postiac;38;27,42;('Naujan-et-Postiac', 38, 27.42),;('Naujan-et-Postiac', 38, 27.42),
311;Néac;Néac;45;31,55;('Néac', 45, 31.55),;('Néac', 45, 31.55),
312;Nérigean;Nérigean;34;25,06;('Nérigean', 34, 25.06),;('Nérigean', 34, 25.06),
313;Neuffons;Neuffons;88;56,92;('Neuffons', 88, 56.92),;('Neuffons', 88, 56.92),
314;Noaillac;Noaillac;52;35,68;('Noaillac', 52, 35.68),;('Noaillac', 52, 35.68),
315;Noaillan;Noaillan;61;40,99;('Noaillan', 61, 40.99),;('Noaillan', 61, 40.99),
316;Omet;Omet;47;32,73;('Omet', 47, 32.73),;('Omet', 47, 32.73),
317;Ordonnac;Ordonnac;67;44,53;('Ordonnac', 67, 44.53),;('Ordonnac', 67, 44.53),
318;Origne;Origne;48;33,32;('Origne', 48, 33.32),;('Origne', 48, 33.32),
319;Paillet;Paillet;29;22,11;('Paillet', 29, 22.11),;('Paillet', 29, 22.11),
320;Parempuyre;Parempuyre;18;15,62;('Parempuyre', 18, 15.62),;('Parempuyre', 18, 15.62),
321;Pauillac;Pauillac;52;35,68;('Pauillac', 52, 35.68),;('Pauillac', 52, 35.68),
322;Pellegrue;Pellegrue;72;47,48;('Pellegrue', 72, 47.48),;('Pellegrue', 72, 47.48),
323;Périssac;Périssac;36;26,24;('Périssac', 36, 26.24),;('Périssac', 36, 26.24),
324;Pessac;Pessac;6;8,54;('Pessac', 6, 8.54),;('Pessac', 6, 8.54),
325;Pessac-sur-Dordogne;Pessac-sur-Dordogne;67;44,53;('Pessac-sur-Dordogne', 67, 44.53),;('Pessac-sur-Dordogne', 67, 44.53),
326;Petit-Palais-et-Cornemps;Petit-Palais-et-Cornemps;63;42,17;('Petit-Palais-et-Cornemps', 63, 42.17),;('Petit-Palais-et-Cornemps', 63, 42.17),
327;Peujard;Peujard;32;23,88;('Peujard', 32, 23.88),;('Peujard', 32, 23.88),
328;Pineuilh;Pineuilh;77;50,43;('Pineuilh', 77, 50.43),;('Pineuilh', 77, 50.43),
329;Plassac;Plassac;50;34,5;('Plassac', 50, 34.5),;('Plassac', 50, 34.5),
330;Pleine-Selve;Pleine-Selve;67;44,53;('Pleine-Selve', 67, 44.53),;('Pleine-Selve', 67, 44.53),
331;Podensac;Podensac;42;29,78;('Podensac', 42, 29.78),;('Podensac', 42, 29.78),
332;Pomerol;Pomerol;43;30,37;('Pomerol', 43, 30.37),;('Pomerol', 43, 30.37),
333;Pompéjac;Pompéjac;74;48,66;('Pompéjac', 74, 48.66),;('Pompéjac', 74, 48.66),
334;Pompignac;Pompignac;15;13,85;('Pompignac', 15, 13.85),;('Pompignac', 15, 13.85),
335;Pondaurat;Pondaurat;72;47,48;('Pondaurat', 72, 47.48),;('Pondaurat', 72, 47.48),
336;Porchères;Porchères;69;45,71;('Porchères', 69, 45.71),;('Porchères', 69, 45.71),
337;Porte-de-Benauge;Porte-de-Benauge;52;35,68;('Porte-de-Benauge', 52, 35.68),;('Porte-de-Benauge', 52, 35.68),
338;Portets;Portets;28;21,52;('Portets', 28, 21.52),;('Portets', 28, 21.52),
339;Préchac;Préchac;67;44,53;('Préchac', 67, 44.53),;('Préchac', 67, 44.53),
340;Preignac;Preignac;46;32,14;('Preignac', 46, 32.14),;('Preignac', 46, 32.14),
341;Prignac-et-Marcamps;Prignac-et-Marcamps;31;23,29;('Prignac-et-Marcamps', 31, 23.29),;('Prignac-et-Marcamps', 31, 23.29),
342;Pugnac;Pugnac;37;26,83;('Pugnac', 37, 26.83),;('Pugnac', 37, 26.83),
343;Puisseguin;Puisseguin;55;37,45;('Puisseguin', 55, 37.45),;('Puisseguin', 55, 37.45),
344;Pujols;Pujols;60;40,4;('Pujols', 60, 40.4),;('Pujols', 60, 40.4),
345;Pujols-sur-Ciron;Pujols-sur-Ciron;44;30,96;('Pujols-sur-Ciron', 44, 30.96),;('Pujols-sur-Ciron', 44, 30.96),
346;Puybarban;Puybarban;74;48,66;('Puybarban', 74, 48.66),;('Puybarban', 74, 48.66),
347;Puynormand;Puynormand;67;44,53;('Puynormand', 67, 44.53),;('Puynormand', 67, 44.53),
348;Queyrac;Queyrac;72;47,48;('Queyrac', 72, 47.48),;('Queyrac', 72, 47.48),
349;Quinsac;Quinsac;16;14,44;('Quinsac', 16, 14.44),;('Quinsac', 16, 14.44),
350;Rauzan;Rauzan;43;30,37;('Rauzan', 43, 30.37),;('Rauzan', 43, 30.37),
351;Reignac;Reignac;62;41,58;('Reignac', 62, 41.58),;('Reignac', 62, 41.58),
352;Rimons;Rimons;72;47,48;('Rimons', 72, 47.48),;('Rimons', 72, 47.48),
353;Riocaud;Riocaud;83;53,97;('Riocaud', 83, 53.97),;('Riocaud', 83, 53.97),
354;Rions;Rions;32;23,88;('Rions', 32, 23.88),;('Rions', 32, 23.88),
355;Roaillan;Roaillan;55;37,45;('Roaillan', 55, 37.45),;('Roaillan', 55, 37.45),
356;Romagne;Romagne;41;29,19;('Romagne', 41, 29.19),;('Romagne', 41, 29.19),
357;Roquebrune;Roquebrune;85;55,15;('Roquebrune', 85, 55.15),;('Roquebrune', 85, 55.15),
358;Ruch;Ruch;59;39,81;('Ruch', 59, 39.81),;('Ruch', 59, 39.81),
359;Sablons;Sablons;53;36,27;('Sablons', 53, 36.27),;('Sablons', 53, 36.27),
360;Sadirac;Sadirac;22;17,98;('Sadirac', 22, 17.98),;('Sadirac', 22, 17.98),
361;Saillans;Saillans;39;28,01;('Saillans', 39, 28.01),;('Saillans', 39, 28.01),
362;Saint-Aignan;Saint-Aignan;37;26,83;('Saint-Aignan', 37, 26.83),;('Saint-Aignan', 37, 26.83),
363;Saint-André-de-Cubzac;Saint-André-de-Cubzac;26;20,34;('Saint-André-de-Cubzac', 26, 20.34),;('Saint-André-de-Cubzac', 26, 20.34),
364;Saint-André-du-Bois;Saint-André-du-Bois;58;39,22;('Saint-André-du-Bois', 58, 39.22),;('Saint-André-du-Bois', 58, 39.22),
365;Saint-André-et-Appelles;Saint-André-et-Appelles;77;50,43;('Saint-André-et-Appelles', 77, 50.43),;('Saint-André-et-Appelles', 77, 50.43),
366;Saint-Androny;Saint-Androny;57;38,63;('Saint-Androny', 57, 38.63),;('Saint-Androny', 57, 38.63),
367;Saint-Antoine-du-Queyret;Saint-Antoine-du-Queyret;67;44,53;('Saint-Antoine-du-Queyret', 67, 44.53),;('Saint-Antoine-du-Queyret', 67, 44.53),
368;Saint-Antoine-sur-l'Isle;Saint-Antoine-sur-l'Isle;71;46,89;('Saint-Antoine-sur-l'Isle', 71, 46.89),;('Saint-Antoine-sur-l''Isle', 71, 46.89),
369;Saint-Aubin-de-Blaye;Saint-Aubin-de-Blaye;59;39,81;('Saint-Aubin-de-Blaye', 59, 39.81),;('Saint-Aubin-de-Blaye', 59, 39.81),
370;Saint-Aubin-de-Branne;Saint-Aubin-de-Branne;45;31,55;('Saint-Aubin-de-Branne', 45, 31.55),;('Saint-Aubin-de-Branne', 45, 31.55),
371;Saint-Aubin-de-Médoc;Saint-Aubin-de-Médoc;15;13,85;('Saint-Aubin-de-Médoc', 15, 13.85),;('Saint-Aubin-de-Médoc', 15, 13.85),
372;Saint-Avit-de-Soulège;Saint-Avit-de-Soulège;71;46,89;('Saint-Avit-de-Soulège', 71, 46.89),;('Saint-Avit-de-Soulège', 71, 46.89),
373;Saint-Avit-Saint-Nazaire;Saint-Avit-Saint-Nazaire;76;49,84;('Saint-Avit-Saint-Nazaire', 76, 49.84),;('Saint-Avit-Saint-Nazaire', 76, 49.84),
374;Saint-Brice;Saint-Brice;48;33,32;('Saint-Brice', 48, 33.32),;('Saint-Brice', 48, 33.32),
375;Saint-Caprais-de-Bordeaux ;Saint-Caprais-de-Bordeaux;18;15,62;('Saint-Caprais-de-Bordeaux ', 18, 15.62),;('Saint-Caprais-de-Bordeaux', 18, 15.62),
376;Saint-Christoly-de-Blaye ;Saint-Christoly-de-Blaye;43;30,37;('Saint-Christoly-de-Blaye ', 43, 30.37),;('Saint-Christoly-de-Blaye', 43, 30.37),
377;Saint-Christoly-Médoc;Saint-Christoly-Médoc;71;46,89;('Saint-Christoly-Médoc', 71, 46.89),;('Saint-Christoly-Médoc', 71, 46.89),
378;Saint-Christophe-de-Double    ;Saint-Christophe-de-Double;68;45,12;('Saint-Christophe-de-Double    ', 68, 45.12),;('Saint-Christophe-de-Double', 68, 45.12),
379;Saint-Christophe-des-Bardes   ;Saint-Christophe-des-Bardes;47;32,73;('Saint-Christophe-des-Bardes   ', 47, 32.73),;('Saint-Christophe-des-Bardes', 47, 32.73),
380;Saint-Cibard;Saint-Cibard;53;36,27;('Saint-Cibard', 53, 36.27),;('Saint-Cibard', 53, 36.27),
381;Saint-Ciers-d'Abzac ;Saint-Ciers-d'Abzac;40;28,6;('Saint-Ciers-d'Abzac ', 40, 28.6),;('Saint-Ciers-d''Abzac', 40, 28.6),
382;Saint-Ciers-de-Canesse;Saint-Ciers-de-Canesse;43;30,37;('Saint-Ciers-de-Canesse', 43, 30.37),;('Saint-Ciers-de-Canesse', 43, 30.37),
383;Saint-Ciers-sur-Gironde;Saint-Ciers-sur-Gironde;65;43,35;('Saint-Ciers-sur-Gironde', 65, 43.35),;('Saint-Ciers-sur-Gironde', 65, 43.35),
384;Saint-Côme;Saint-Côme;62;41,58;('Saint-Côme', 62, 41.58),;('Saint-Côme', 62, 41.58),
385;Saint-Denis-de-Pile;Saint-Denis-de-Pile;42;29,78;('Saint-Denis-de-Pile', 42, 29.78),;('Saint-Denis-de-Pile', 42, 29.78),
386;Saint-Émilion;Saint-Émilion;41;29,19;('Saint-Émilion', 41, 29.19),;('Saint-Émilion', 41, 29.19),
387;Saint-Estèphe;Saint-Estèphe;60;40,4;('Saint-Estèphe', 60, 40.4),;('Saint-Estèphe', 60, 40.4),
388;Saint-Étienne-de-Lisse;Saint-Étienne-de-Lisse;46;32,14;('Saint-Étienne-de-Lisse', 46, 32.14),;('Saint-Étienne-de-Lisse', 46, 32.14),
389;Saint-Exupéry;Saint-Exupéry;65;43,35;('Saint-Exupéry', 65, 43.35),;('Saint-Exupéry', 65, 43.35),
390;Saint-Félix-de-Foncaude;Saint-Félix-de-Foncaude;43;30,37;('Saint-Félix-de-Foncaude', 43, 30.37),;('Saint-Félix-de-Foncaude', 43, 30.37),
391;Saint-Ferme;Saint-Ferme;62;41,58;('Saint-Ferme', 62, 41.58),;('Saint-Ferme', 62, 41.58),
392;Saint-Genès-de-Blaye;Saint-Genès-de-Blaye;52;35,68;('Saint-Genès-de-Blaye', 52, 35.68),;('Saint-Genès-de-Blaye', 52, 35.68),
393;Saint-Genès-de-Castillon;Saint-Genès-de-Castillon;49;33,91;('Saint-Genès-de-Castillon', 49, 33.91),;('Saint-Genès-de-Castillon', 49, 33.91),
394;Saint-Genès-de-Fronsac;Saint-Genès-de-Fronsac;33;24,47;('Saint-Genès-de-Fronsac', 33, 24.47),;('Saint-Genès-de-Fronsac', 33, 24.47),
395;Saint-Genès-de-Lombaud;Saint-Genès-de-Lombaud;23;18,57;('Saint-Genès-de-Lombaud', 23, 18.57),;('Saint-Genès-de-Lombaud', 23, 18.57),
396;Saint-Germain-d'Esteuil;Saint-Germain-d'Esteuil;62;41,58;('Saint-Germain-d'Esteuil', 62, 41.58),;('Saint-Germain-d''Esteuil', 62, 41.58),
397;Saint-Germain-de-Grave;Saint-Germain-de-Grave;50;34,5;('Saint-Germain-de-Grave', 50, 34.5),;('Saint-Germain-de-Grave', 50, 34.5),
398;Saint-Germain-de-la-Rivière;Saint-Germain-de-la-Rivière;33;24,47;('Saint-Germain-de-la-Rivière', 33, 24.47),;('Saint-Germain-de-la-Rivière', 33, 24.47),
399;Saint-Germain-du-Puch;Saint-Germain-du-Puch;26;20,34;('Saint-Germain-du-Puch', 26, 20.34),;('Saint-Germain-du-Puch', 26, 20.34),
400;Saint-Gervais;Saint-Gervais;28;21,52;('Saint-Gervais', 28, 21.52),;('Saint-Gervais', 28, 21.52),
401;Saint-Girons-d'Aiguevives;Saint-Girons-d'Aiguevives;45;31,55;('Saint-Girons-d'Aiguevives', 45, 31.55),;('Saint-Girons-d''Aiguevives', 45, 31.55),
402;Saint-Hilaire-de-la-Noaille;Saint-Hilaire-de-la-Noaille;61;40,99;('Saint-Hilaire-de-la-Noaille', 61, 40.99),;('Saint-Hilaire-de-la-Noaille', 61, 40.99),
403;Saint-Hilaire-du-Bois;Saint-Hilaire-du-Bois;44;30,96;('Saint-Hilaire-du-Bois', 44, 30.96),;('Saint-Hilaire-du-Bois', 44, 30.96),
404;Saint-Hippolyte;Saint-Hippolyte;48;33,32;('Saint-Hippolyte', 48, 33.32),;('Saint-Hippolyte', 48, 33.32),
405;Saint-Jean-d'Illac;Saint-Jean-d'Illac;18;15,62;('Saint-Jean-d'Illac', 18, 15.62),;('Saint-Jean-d''Illac', 18, 15.62),
406;Saint-Jean-de-Blaignac;Saint-Jean-de-Blaignac;41;29,19;('Saint-Jean-de-Blaignac', 41, 29.19),;('Saint-Jean-de-Blaignac', 41, 29.19),
407;Saint-Julien-Beychevelle;Saint-Julien-Beychevelle;49;33,91;('Saint-Julien-Beychevelle', 49, 33.91),;('Saint-Julien-Beychevelle', 49, 33.91),
408;Saint-Laurent-d'Arce;Saint-Laurent-d'Arce;31;23,29;('Saint-Laurent-d'Arce', 31, 23.29),;('Saint-Laurent-d''Arce', 31, 23.29),
409;Saint-Laurent-des-Combes;Saint-Laurent-des-Combes;43;30,37;('Saint-Laurent-des-Combes', 43, 30.37),;('Saint-Laurent-des-Combes', 43, 30.37),
410;Saint-Laurent-du-Bois;Saint-Laurent-du-Bois;50;34,5;('Saint-Laurent-du-Bois', 50, 34.5),;('Saint-Laurent-du-Bois', 50, 34.5),
411;Saint-Laurent-du-Plan;Saint-Laurent-du-Plan;66;43,94;('Saint-Laurent-du-Plan', 66, 43.94),;('Saint-Laurent-du-Plan', 66, 43.94),
412;Saint-Laurent-Médoc;Saint-Laurent-Médoc;44;30,96;('Saint-Laurent-Médoc', 44, 30.96),;('Saint-Laurent-Médoc', 44, 30.96),
413;Saint-Léger-de-Balson;Saint-Léger-de-Balson;55;37,45;('Saint-Léger-de-Balson', 55, 37.45),;('Saint-Léger-de-Balson', 55, 37.45),
414;Saint-Léon;Saint-Léon;33;24,47;('Saint-Léon', 33, 24.47),;('Saint-Léon', 33, 24.47),
415;Saint-Loubert;Saint-Loubert;54;36,86;('Saint-Loubert', 54, 36.86),;('Saint-Loubert', 54, 36.86),
416;Saint-Loubès;Saint-Loubès;20;16,8;('Saint-Loubès', 20, 16.8),;('Saint-Loubès', 20, 16.8),
417;Saint-Louis-de-Montferrand ;Saint-Louis-de-Montferrand;16;14,44;('Saint-Louis-de-Montferrand ', 16, 14.44),;('Saint-Louis-de-Montferrand', 16, 14.44),
418;Saint-Macaire;Saint-Macaire;50;34,5;('Saint-Macaire', 50, 34.5),;('Saint-Macaire', 50, 34.5),
419;Saint-Magne;Saint-Magne;38;27,42;('Saint-Magne', 38, 27.42),;('Saint-Magne', 38, 27.42),
420;Saint-Magne-de-Castillon;Saint-Magne-de-Castillon;52;35,68;('Saint-Magne-de-Castillon', 52, 35.68),;('Saint-Magne-de-Castillon', 52, 35.68),
421;Saint-Maixant;Saint-Maixant;53;36,27;('Saint-Maixant', 53, 36.27),;('Saint-Maixant', 53, 36.27),
422;Saint-Mariens;Saint-Mariens;41;29,19;('Saint-Mariens', 41, 29.19),;('Saint-Mariens', 41, 29.19),
423;Saint-Martial;Saint-Martial;62;41,58;('Saint-Martial', 62, 41.58),;('Saint-Martial', 62, 41.58),
424;Saint-Martin-de-Laye;Saint-Martin-de-Laye;50;34,5;('Saint-Martin-de-Laye', 50, 34.5),;('Saint-Martin-de-Laye', 50, 34.5),
425;Saint-Martin-de-Lerm;Saint-Martin-de-Lerm;87;56,33;('Saint-Martin-de-Lerm', 87, 56.33),;('Saint-Martin-de-Lerm', 87, 56.33),
426;Saint-Martin-de-Sescas;Saint-Martin-de-Sescas;57;38,63;('Saint-Martin-de-Sescas', 57, 38.63),;('Saint-Martin-de-Sescas', 57, 38.63),
427;Saint-Martin-du-Bois;Saint-Martin-du-Bois;42;29,78;('Saint-Martin-du-Bois', 42, 29.78),;('Saint-Martin-du-Bois', 42, 29.78),
428;Saint-Martin-du-Puy;Saint-Martin-du-Puy;70;46,3;('Saint-Martin-du-Puy', 70, 46.3),;('Saint-Martin-du-Puy', 70, 46.3),
429;Saint-Martin-Lacaussade;Saint-Martin-Lacaussade;51;35,09;('Saint-Martin-Lacaussade', 51, 35.09),;('Saint-Martin-Lacaussade', 51, 35.09),
430;Saint-Médard-d'Eyrans;Saint-Médard-d'Eyrans;20;16,8;('Saint-Médard-d'Eyrans', 20, 16.8),;('Saint-Médard-d''Eyrans', 20, 16.8),
431;Saint-Médard-de-Guizières;Saint-Médard-de-Guizières;61;40,99;('Saint-Médard-de-Guizières', 61, 40.99),;('Saint-Médard-de-Guizières', 61, 40.99),
432;Saint-Médard-en-Jalles;Saint-Médard-en-Jalles;15;13,85;('Saint-Médard-en-Jalles', 15, 13.85),;('Saint-Médard-en-Jalles', 15, 13.85),
433;Saint-Michel-de-Castelnau;Saint-Michel-de-Castelnau;95;61,05;('Saint-Michel-de-Castelnau', 95, 61.05),;('Saint-Michel-de-Castelnau', 95, 61.05),
434;Saint-Michel-de-Fronsac;Saint-Michel-de-Fronsac;37;26,83;('Saint-Michel-de-Fronsac', 37, 26.83),;('Saint-Michel-de-Fronsac', 37, 26.83),
435;Saint-Michel-de-Lapujade;Saint-Michel-de-Lapujade;83;53,97;('Saint-Michel-de-Lapujade', 83, 53.97),;('Saint-Michel-de-Lapujade', 83, 53.97),
436;Saint-Michel-de-Rieufret;Saint-Michel-de-Rieufret;34;25,06;('Saint-Michel-de-Rieufret', 34, 25.06),;('Saint-Michel-de-Rieufret', 34, 25.06),
437;Saint-Morillon;Saint-Morillon;29;22,11;('Saint-Morillon', 29, 22.11),;('Saint-Morillon', 29, 22.11),
438;Saint-Palais;Saint-Palais;66;43,94;('Saint-Palais', 66, 43.94),;('Saint-Palais', 66, 43.94),
439;Saint-Pardon-de-Conques;Saint-Pardon-de-Conques;56;38,04;('Saint-Pardon-de-Conques', 56, 38.04),;('Saint-Pardon-de-Conques', 56, 38.04),
440;Saint-Paul;Saint-Paul;49;33,91;('Saint-Paul', 49, 33.91),;('Saint-Paul', 49, 33.91),
441;Saint-Pey-d'Armens;Saint-Pey-d'Armens;48;33,32;('Saint-Pey-d'Armens', 48, 33.32),;('Saint-Pey-d''Armens', 48, 33.32),
442;Saint-Pey-de-Castets;Saint-Pey-de-Castets;55;37,45;('Saint-Pey-de-Castets', 55, 37.45),;('Saint-Pey-de-Castets', 55, 37.45),
443;Saint-Philippe-d'Aiguille;Saint-Philippe-d'Aiguille;58;39,22;('Saint-Philippe-d'Aiguille', 58, 39.22),;('Saint-Philippe-d''Aiguille', 58, 39.22),
444;Saint-Philippe-du-Seignal;Saint-Philippe-du-Seignal;79;51,61;('Saint-Philippe-du-Seignal', 79, 51.61),;('Saint-Philippe-du-Seignal', 79, 51.61),
445;Saint-Pierre-d'Aurillac;Saint-Pierre-d'Aurillac;55;37,45;('Saint-Pierre-d'Aurillac', 55, 37.45),;('Saint-Pierre-d''Aurillac', 55, 37.45),
446;Saint-Pierre-de-Bat;Saint-Pierre-de-Bat;53;36,27;('Saint-Pierre-de-Bat', 53, 36.27),;('Saint-Pierre-de-Bat', 53, 36.27),
447;Saint-Pierre-de-Mons;Saint-Pierre-de-Mons;53;36,27;('Saint-Pierre-de-Mons', 53, 36.27),;('Saint-Pierre-de-Mons', 53, 36.27),
448;Saint-Quentin-de-Baron;Saint-Quentin-de-Baron;28;21,52;('Saint-Quentin-de-Baron', 28, 21.52),;('Saint-Quentin-de-Baron', 28, 21.52),
449;Saint-Quentin-de-Caplong;Saint-Quentin-de-Caplong;74;48,66;('Saint-Quentin-de-Caplong', 74, 48.66),;('Saint-Quentin-de-Caplong', 74, 48.66),
450;Saint-Romain-la-Virvée;Saint-Romain-la-Virvée;28;21,52;('Saint-Romain-la-Virvée', 28, 21.52),;('Saint-Romain-la-Virvée', 28, 21.52),
