id_commune;commune_gironde;;kilometrage_bordeaux;frais_livraison_euros;;
59;Bouliac;Bouliac;11;11,49;('Bouliac', 11, 11.49),;('Bouliac', 11, 11.49),
60;Bourdelles;Bourdelles;78;51,02;('Bourdelles', 78, 51.02),;('Bourdelles', 78, 51.02),
61;Bourg;Bourg;40;28,6;('Bourg', 40, 28.6),;('Bourg', 40, 28.6),
62;Bourideys;Bourideys;77;50,43;('Bourideys', 77, 50.43),;('Bourideys', 77, 50.43),
63;Brach;Brach;39;28,01;('Brach', 39, 28.01),;('Brach', 39, 28.01),
64;Branne;Branne;42;29,78;('Branne', 42, 29.78),;('Branne', 42, 29.78),
65;Brannens;Brannens;58;39,22;('Brannens', 58, 39.22),;('Brannens', 58, 39.22),
66;Braud-et-St-Louis;Braud-et-St-Louis;67;44,53;('Braud-et-St-Louis', 67, 44.53),;('Braud-et-St-Louis', 67, 44.53),
67;Brouqueyran;Brouqueyran;54;36,86;('Brouqueyran', 54, 36.86),;('Brouqueyran', 54, 36.86),
68;Bruges;Bruges;6;8,54;('Bruges', 6, 8.54),;('Bruges', 6, 8.54),
69;Budos;Budos;42;29,78;('Budos', 42, 29.78),;('Budos', 42, 29.78),
70;Cabanac - Villagrains;Cabanac - Villagrains;36;26,24;('Cabanac - Villagrains', 36, 26.24),;('Cabanac - Villagrains', 36, 26.24),
71;Cabara;Cabara;45;31,55;('Cabara', 45, 31.55),;('Cabara', 45, 31.55),
72;Cadarsac;Cadarsac;32;23,88;('Cadarsac', 32, 23.88),;('Cadarsac', 32, 23.88),
73;Cadaujac;Cadaujac;13;12,67;('Cadaujac', 13, 12.67),;('Cadaujac', 13, 12.67),
74;Cadillac-en-Fronsadais;Cadillac-en-Fronsadais;29;22,11;('Cadillac-en-Fronsadais', 29, 22.11),;('Cadillac-en-Fronsadais', 29, 22.11),
75;Cadillac-sur-Garonne;Cadillac-sur-Garonne;42;29,78;('Cadillac-sur-Garonne', 42, 29.78),;('Cadillac-sur-Garonne', 42, 29.78),
76;Camarsac;Camarsac;24;19,16;('Camarsac', 24, 19.16),;('Camarsac', 24, 19.16),
77;Cambes;Cambes;19;16,21;('Cambes', 19, 16.21),;('Cambes', 19, 16.21),
78;Camblanes-et-Meynac;Camblanes-et-Meynac;7;9,13;('Camblanes-et-Meynac', 7, 9.13),;('Camblanes-et-Meynac', 7, 9.13),
79;Camiac-et-Saint-Denis;Camiac-et-Saint-Denis;30;22,7;('Camiac-et-Saint-Denis', 30, 22.7),;('Camiac-et-Saint-Denis', 30, 22.7),
80;Camiran;Camiran;68;45,12;('Camiran', 68, 45.12),;('Camiran', 68, 45.12),
81;Camps-sur-l'Isle;Camps-sur-l'Isle;62;41,58;('Camps-sur-l'Isle', 62, 41.58),;('Camps-sur-l''Isle', 62, 41.58),
82;Campugnan;Campugnan;54;36,86;('Campugnan', 54, 36.86),;('Campugnan', 54, 36.86),
83;Canéjan;Canéjan;13;12,67;('Canéjan', 13, 12.67),;('Canéjan', 13, 12.67),
84;Capian;Capian;32;23,88;('Capian', 32, 23.88),;('Capian', 32, 23.88),
85;Caplong;Caplong;75;49,25;('Caplong', 75, 49.25),;('Caplong', 75, 49.25),
86;Captieux;Captieux;87;56,33;('Captieux', 87, 56.33),;('Captieux', 87, 56.33),
87;Carbon-Blanc;Carbon-Blanc;12;12,08;('Carbon-Blanc', 12, 12.08),;('Carbon-Blanc', 12, 12.08),
88;Carcans;Carcans;49;33,91;('Carcans', 49, 33.91),;('Carcans', 49, 33.91),
89;Cardan;Cardan;32;23,88;('Cardan', 32, 23.88),;('Cardan', 32, 23.88),
90;Carignan-de-Bordeaux;Carignan-de-Bordeaux;14;13,26;('Carignan-de-Bordeaux', 14, 13.26),;('Carignan-de-Bordeaux', 14, 13.26),
91;Cars;Cars;48;33,32;('Cars', 48, 33.32),;('Cars', 48, 33.32),
92;Cartelègue;Cartelègue;53;36,27;('Cartelègue', 53, 36.27),;('Cartelègue', 53, 36.27),
93;Casseuil;Casseuil;59;39,81;('Casseuil', 59, 39.81),;('Casseuil', 59, 39.81),
94;Castelmoron-d'Albret;Castelmoron-d'Albret;58;39,22;('Castelmoron-d'Albret', 58, 39.22),;('Castelmoron-d''Albret', 58, 39.22),
95;Castelnau-de-Médoc;Castelnau-de-Médoc;29;22,11;('Castelnau-de-Médoc', 29, 22.11),;('Castelnau-de-Médoc', 29, 22.11),
96;Castelviel;Castelviel;50;34,5;('Castelviel', 50, 34.5),;('Castelviel', 50, 34.5),
97;Castets et Castillon;Castets et Castillon;56;38,04;('Castets et Castillon', 56, 38.04),;('Castets et Castillon', 56, 38.04),
98;Castillon-la-Bataille;Castillon-la-Bataille;47;32,73;('Castillon-la-Bataille', 47, 32.73),;('Castillon-la-Bataille', 47, 32.73),
99;Castres-Gironde;Castres-Gironde;24;19,16;('Castres-Gironde', 24, 19.16),;('Castres-Gironde', 24, 19.16),
100;Caudrot;Caudrot;55;37,45;('Caudrot', 55, 37.45),;('Caudrot', 55, 37.45),
101;Caumont;Caumont;48;33,32;('Caumont', 48, 33.32),;('Caumont', 48, 33.32),
102;Cauvignac;Cauvignac;64;42,76;('Cauvignac', 64, 42.76),;('Cauvignac', 64, 42.76),
103;Cavignac;Cavignac;38;27,42;('Cavignac', 38, 27.42),;('Cavignac', 38, 27.42),
104;Cazalis;Cazalis;79;51,61;('Cazalis', 79, 51.61),;('Cazalis', 79, 51.61),
105;Cazats;Cazats;50;34,5;('Cazats', 50, 34.5),;('Cazats', 50, 34.5),
106;Cazaugitat;Cazaugitat;56;38,04;('Cazaugitat', 56, 38.04),;('Cazaugitat', 56, 38.04),
107;Cénac;Cénac;15;13,85;('Cénac', 15, 13.85),;('Cénac', 15, 13.85),
108;Cenon;Cenon;9;10,31;('Cenon', 9, 10.31),;('Cenon', 9, 10.31),
109;Cérons;Cérons;39;28,01;('Cérons', 39, 28.01),;('Cérons', 39, 28.01),
110;Cessac;Cessac;44;30,96;('Cessac', 44, 30.96),;('Cessac', 44, 30.96),
111;Cestas;Cestas;18;15,62;('Cestas', 18, 15.62),;('Cestas', 18, 15.62),
112;Cézac;Cézac;37;26,83;('Cézac', 37, 26.83),;('Cézac', 37, 26.83),
113;Chamadelle;Chamadelle;65;43,35;('Chamadelle', 65, 43.35),;('Chamadelle', 65, 43.35),
114;Cissac-Médoc;Cissac-Médoc;53;36,27;('Cissac-Médoc', 53, 36.27),;('Cissac-Médoc', 53, 36.27),
115;Civrac-de-Blaye;Civrac-de-Blaye;41;29,19;('Civrac-de-Blaye', 41, 29.19),;('Civrac-de-Blaye', 41, 29.19),
116;Civrac-en-Médoc;Civrac-en-Médoc;67;44,53;('Civrac-en-Médoc', 67, 44.53),;('Civrac-en-Médoc', 67, 44.53),
117;Civrac-sur-Dordogne;Civrac-sur-Dordogne;39;28,01;('Civrac-sur-Dordogne', 39, 28.01),;('Civrac-sur-Dordogne', 39, 28.01),
118;Cleyrac;Cleyrac;53;36,27;('Cleyrac', 53, 36.27),;('Cleyrac', 53, 36.27),
119;Coimères;Coimères;53;36,27;('Coimères', 53, 36.27),;('Coimères', 53, 36.27),
120;Coirac;Coirac;46;32,14;('Coirac', 46, 32.14),;('Coirac', 46, 32.14),
121;Comps;Comps;41;29,19;('Comps', 41, 29.19),;('Comps', 41, 29.19),
122;Coubeyrac;Coubeyrac;60;40,4;('Coubeyrac', 60, 40.4),;('Coubeyrac', 60, 40.4),
123;Couquèques;Couquèques;71;46,89;('Couquèques', 71, 46.89),;('Couquèques', 71, 46.89),
124;Courpiac;Courpiac;42;29,78;('Courpiac', 42, 29.78),;('Courpiac', 42, 29.78),
125;Cours-de-Monségur ;Cours-de-Monségur;72;47,48;('Cours-de-Monségur ', 72, 47.48),;('Cours-de-Monségur', 72, 47.48),
126;Cours-les-Bains;Cours-les-Bains;76;49,84;('Cours-les-Bains', 76, 49.84),;('Cours-les-Bains', 76, 49.84),
127;Coutras;Coutras;51;35,09;('Coutras', 51, 35.09),;('Coutras', 51, 35.09),
128;Coutures;Coutures;63;42,17;('Coutures', 63, 42.17),;('Coutures', 63, 42.17),
129;Créon;Créon;26;20,34;('Créon', 26, 20.34),;('Créon', 26, 20.34),
130;Croignon;Croignon;23;18,57;('Croignon', 23, 18.57),;('Croignon', 23, 18.57),
131;Cubnezais;Cubnezais;35;25,65;('Cubnezais', 35, 25.65),;('Cubnezais', 35, 25.65),
132;Cubzac-les-Ponts;Cubzac-les-Ponts;22;17,98;('Cubzac-les-Ponts', 22, 17.98),;('Cubzac-les-Ponts', 22, 17.98),
133;Cudos;Cudos;64;42,76;('Cudos', 64, 42.76),;('Cudos', 64, 42.76),
134;Cursan;Cursan;25;19,75;('Cursan', 25, 19.75),;('Cursan', 25, 19.75),
135;Cussac-Fort-Médoc ;Cussac-Fort-Médoc;39;28,01;('Cussac-Fort-Médoc ', 39, 28.01),;('Cussac-Fort-Médoc', 39, 28.01),
136;Daignac;Daignac;22;17,98;('Daignac', 22, 17.98),;('Daignac', 22, 17.98),
137;Dardenac;Dardenac;38;27,42;('Dardenac', 38, 27.42),;('Dardenac', 38, 27.42),
138;Daubèze;Daubèze;48;33,32;('Daubèze', 48, 33.32),;('Daubèze', 48, 33.32),
139;Dieulivol;Dieulivol;98;62,82;('Dieulivol', 98, 62.82),;('Dieulivol', 98, 62.82),
140;Donnezac;Donnezac;62;41,58;('Donnezac', 62, 41.58),;('Donnezac', 62, 41.58),
141;Donzac;Donzac;48;33,32;('Donzac', 48, 33.32),;('Donzac', 48, 33.32),
142;Doulezon;Doulezon;63;42,17;('Doulezon', 63, 42.17),;('Doulezon', 63, 42.17),
